Date : 2024-03-02 11:06:42
Directory : d:\Project\NewClientPanel\new_client_panel-app
Total : 241 files,  25916 codes, 202 comments, 451 blanks, all 26569 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\components\clientUser                                                                                                                       |         10 |      1,748 |          2 |         32 |      1,782 |
| src\components\clientUser\ChangePassword                                                                                                        |          2 |        326 |          0 |          9 |        335 |
| src\components\clientUser\ResetPasswordForm                                                                                                     |          1 |        168 |          0 |          3 |        171 |
| src\components\clientUser\SignOut                                                                                                               |          1 |         65 |          0 |          2 |         67 |
| src\components\clientUser\SignUpForm                                                                                                            |          3 |        452 |          2 |          9 |        463 |
| src\components\clientUser\SignUpForm (Files)                                                                                                    |          1 |        208 |          0 |          4 |        212 |
| src\components\clientUser\SignUpForm\MobileSignUpForm                                                                                           |          1 |        135 |          2 |          2 |        139 |
| src\components\clientUser\SignUpForm\TabletSignUpForm                                                                                           |          1 |        109 |          0 |          3 |        112 |
| src\components\clientUser\UserInfoDetails                                                                                                       |          2 |        461 |          0 |          5 |        466 |
| src\components\clientUser\signInForm                                                                                                            |          1 |        276 |          0 |          4 |        280 |
| src\components\financial                                                                                                                        |          2 |        486 |         16 |          7 |        509 |
| src\components\financial\financialReports                                                                                                       |          2 |        486 |         16 |          7 |        509 |
| src\components\loginReports                                                                                                                     |          1 |         80 |          0 |          2 |         82 |
| src\components\ramzNegarServicesSection                                                                                                         |          1 |         54 |          0 |          2 |         56 |
| src\components\technicalDocsServices                                                                                                            |          1 |        162 |          0 |          4 |        166 |
| src\components\tickets                                                                                                                          |          2 |        448 |          1 |          5 |        454 |
| src\components\tickets (Files)                                                                                                                  |          1 |        184 |          1 |          2 |        187 |
| src\components\tickets\addTicket                                                                                                                |          1 |        264 |          0 |          3 |        267 |
| src\container                                                                                                                                   |         17 |      2,073 |          0 |         43 |      2,116 |
| src\container\HomePageLayout                                                                                                                    |          5 |        577 |          0 |         13 |        590 |
| src\container\HomePageLayout (Files)                                                                                                            |          1 |         14 |          0 |          3 |         17 |
| src\container\HomePageLayout\HomePageFooter                                                                                                     |          1 |        223 |          0 |          2 |        225 |
| src\container\HomePageLayout\HomePageHeader                                                                                                     |          3 |        340 |          0 |          8 |        348 |
| src\container\HomePageLayout\HomePageHeader\Desktop                                                                                             |          1 |         88 |          0 |          3 |         91 |
| src\container\HomePageLayout\HomePageHeader\MobileAndTablet                                                                                     |          2 |        252 |          0 |          5 |        257 |
| src\container\LandingLayout                                                                                                                     |          7 |        774 |          0 |         17 |        791 |
| src\container\LandingLayout (Files)                                                                                                             |          3 |        248 |          0 |          6 |        254 |
| src\container\LandingLayout\LandingFooter                                                                                                       |          1 |        223 |          0 |          2 |        225 |
| src\container\LandingLayout\LandingHeader                                                                                                       |          3 |        303 |          0 |          9 |        312 |
| src\container\LandingLayout\LandingHeader\Desktop                                                                                               |          1 |         49 |          0 |          3 |         52 |
| src\container\LandingLayout\LandingHeader\LandingMobileAndTablet                                                                                |          2 |        254 |          0 |          6 |        260 |
| src\container\panelLayout                                                                                                                       |          5 |        722 |          0 |         13 |        735 |
| src\container\panelLayout (Files)                                                                                                               |          1 |         59 |          0 |          3 |         62 |
| src\container\panelLayout\DesktopLayout                                                                                                         |          2 |        343 |          0 |          4 |        347 |
| src\container\panelLayout\MobileAndTabletLayout                                                                                                 |          2 |        320 |          0 |          6 |        326 |
| src\context                                                                                                                                     |          1 |         55 |          0 |          5 |         60 |
| src\pages                                                                                                                                       |         27 |      3,199 |        109 |        111 |      3,419 |
| src\pages (Files)                                                                                                                               |          4 |        158 |          2 |         12 |        172 |
| src\pages\api                                                                                                                                   |          1 |          3 |          1 |          2 |          6 |
| src\pages\panel                                                                                                                                 |         13 |      2,292 |        106 |         75 |      2,473 |
| src\pages\panel\applications                                                                                                                    |          5 |      1,095 |         36 |         32 |      1,163 |
| src\pages\panel\applications (Files)                                                                                                            |          1 |        101 |          1 |          7 |        109 |
| src\pages\panel\applications\addNewApplication                                                                                                  |          2 |        762 |         30 |         10 |        802 |
| src\pages\panel\applications\addNewApplication (Files)                                                                                          |          1 |        329 |          5 |          7 |        341 |
| src\pages\panel\applications\addNewApplication\appTermsAndConditions                                                                            |          1 |        433 |         25 |          3 |        461 |
| src\pages\panel\applications\applicationDetails                                                                                                 |          2 |        232 |          5 |         15 |        252 |
| src\pages\panel\applications\applicationDetails\[appId]                                                                                         |          2 |        232 |          5 |         15 |        252 |
| src\pages\panel\applications\applicationDetails\[appId] (Files)                                                                                 |          1 |        108 |          3 |          9 |        120 |
| src\pages\panel\applications\applicationDetails\[appId]\addService                                                                              |          1 |        124 |          2 |          6 |        132 |
| src\pages\panel\financial                                                                                                                       |          2 |        256 |         41 |          8 |        305 |
| src\pages\panel\financial\financialReports                                                                                                      |          1 |         13 |          0 |          3 |         16 |
| src\pages\panel\financial\increaseCredit                                                                                                        |          1 |        243 |         41 |          5 |        289 |
| src\pages\panel\loginReports                                                                                                                    |          1 |         35 |          1 |          6 |         42 |
| src\pages\panel\technicalDocsServices                                                                                                           |          1 |         94 |          1 |          5 |        100 |
| src\pages\panel\tickets                                                                                                                         |          3 |        765 |         27 |         22 |        814 |
| src\pages\panel\tickets (Files)                                                                                                                 |          1 |         99 |          1 |          6 |        106 |
| src\pages\panel\tickets\addNewTicket                                                                                                            |          1 |        126 |          4 |          8 |        138 |
| src\pages\panel\tickets\ticketDetails                                                                                                           |          1 |        540 |         22 |          8 |        570 |
| src\pages\panel\tickets\ticketDetails\[ticketId]                                                                                                |          1 |        540 |         22 |          8 |        570 |
| src\pages\panel\userManual                                                                                                                      |          1 |         47 |          0 |          2 |         49 |
| src\pages\ramzNegarServices                                                                                                                     |          3 |         99 |          0 |          6 |        105 |
| src\pages\termsAndConditions                                                                                                                    |          1 |        483 |          0 |          3 |        486 |
| src\pages\user                                                                                                                                  |          5 |        164 |          0 |         13 |        177 |
| src\pages\user\changePassword                                                                                                                   |          1 |         96 |          0 |          3 |         99 |
| src\pages\user\resetPassword                                                                                                                    |          1 |         16 |          0 |          3 |         19 |
| src\pages\user\signIn                                                                                                                           |          1 |         16 |          0 |          3 |         19 |
| src\pages\user\signUp                                                                                                                           |          1 |         16 |          0 |          2 |         18 |
| src\pages\user\userInfoDetails                                                                                                                  |          1 |         20 |          0 |          2 |         22 |
| src\server                                                                                                                                      |          1 |        403 |         32 |          5 |        440 |
| src\styles                                                                                                                                      |          2 |        193 |          2 |         14 |        209 |
| utils                                                                                                                                           |          1 |          5 |          0 |          1 |          6 |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                        | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\Project\NewClientPanel\new_client_panel-app\.env                                                                                             | Properties         |          1 |          0 |          0 |          1 |
| d:\Project\NewClientPanel\new_client_panel-app\.eslintrc.json                                                                                   | JSON               |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\README.md                                                                                        | Markdown           |         25 |          0 |         16 |         41 |
| d:\Project\NewClientPanel\new_client_panel-app\data\increaseCreditData\IncreaseCreditData.js                                                    | JavaScript         |         23 |          0 |          1 |         24 |
| d:\Project\NewClientPanel\new_client_panel-app\data\increaseCreditData\PaymentGatewaysData.js                                                   | JavaScript         |          7 |         16 |          1 |         24 |
| d:\Project\NewClientPanel\new_client_panel-app\data\ramzNegarServicesData\coinServiceData.js                                                    | JavaScript         |         81 |          0 |          2 |         83 |
| d:\Project\NewClientPanel\new_client_panel-app\data\ramzNegarServicesData\myPoliceServiceData.js                                                | JavaScript         |        179 |          0 |          2 |        181 |
| d:\Project\NewClientPanel\new_client_panel-app\data\ramzNegarServicesData\serviceServicesData.js                                                | JavaScript         |         52 |          0 |          2 |         54 |
| d:\Project\NewClientPanel\new_client_panel-app\jsconfig.json                                                                                    | JSON with Comments |          7 |          0 |          1 |          8 |
| d:\Project\NewClientPanel\new_client_panel-app\next.config.js                                                                                   | JavaScript         |          4 |          1 |          2 |          7 |
| d:\Project\NewClientPanel\new_client_panel-app\package-lock.json                                                                                | JSON               |      6,026 |          0 |          1 |      6,027 |
| d:\Project\NewClientPanel\new_client_panel-app\package.json                                                                                     | JSON               |         46 |          0 |          1 |         47 |
| d:\Project\NewClientPanel\new_client_panel-app\postcss.config.js                                                                                | JavaScript         |          6 |          0 |          1 |          7 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\0.svg                                                                       | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\4.svg                                                                       | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\Exit.svg                                                                    | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\Jibit_gateway.svg                                                           | XML                |          9 |          0 |          1 |         10 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\Aggregationofgeneralcarviolations.svg                           | XML                |          7 |          0 |          1 |          8 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\Announcementofthecollection.svg                                 | XML                |          7 |          0 |          1 |          8 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\Certificatestatusinquiry.svg                                    | XML                |          6 |          0 |          1 |          7 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\DesktopLock.svg                                                 | XML                |        145 |          0 |          1 |        146 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\EngineViolationImageQuery.svg                                   | XML                |          6 |          0 |          1 |          7 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\Inquiringaboutthestatus.svg                                     | XML                |          6 |          0 |          1 |          7 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\Inquiryofactivelicenseplates.svg                                | XML                |          4 |          0 |          1 |          5 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\Inquiryservice.svg                                              | XML                |          9 |          0 |          1 |         10 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\Mobile.svg                                                      | XML                |         12 |          0 |          1 |         13 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\MobileLock.svg                                                  | XML                |        145 |          0 |          1 |        146 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\Passportstatusinquiry.svg                                       | XML                |         10 |          0 |          1 |         11 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\Paymentofexitfees.svg                                           | XML                |          6 |          0 |          1 |          7 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\Queryengineviolations.svg                                       | XML                |          8 |          0 |          1 |          9 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\Queryimageofcarviolation.svg                                    | XML                |          5 |          0 |          1 |          6 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\Queryingthenegativescore.svg                                    | XML                |          4 |          0 |          1 |          5 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\RAMZNEGAR LOGO ONE copy.svg                                     | XML                |      2,537 |          1 |          2 |      2,540 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\RamzNegarLogo.svg                                               | XML                |         22 |          0 |          1 |         23 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\SMS.svg                                                         | XML                |         13 |          0 |          1 |         14 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\ServicesSelected.svg                                            | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\TabletLock.svg                                                  | XML                |        145 |          0 |          1 |        146 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\Vehicleviolationsinquiry.svg                                    | XML                |          7 |          0 |          1 |          8 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\acceptCode.svg                                                  | XML                |          4 |          0 |          1 |          5 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\activeMachines.svg                                              | XML                |          4 |          0 |          1 |          5 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\authenticationPic.svg                                           | XML                |         25 |          0 |          1 |         26 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\authenticationTick.svg                                          | XML                |         17 |          0 |          1 |         18 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\backgroundDesktop.svg                                           | XML                |        504 |          0 |          1 |        505 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\backgroundMobile.svg                                            | XML                |        471 |          0 |          1 |        472 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\backgroundTablet.svg                                            | XML                |        471 |          0 |          1 |        472 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\blueSemiCircle.svg                                              | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\blueSemiCircleToLeft.svg                                        | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\bottomBadge.svg                                                 | XML                |         18 |          0 |          1 |         19 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\car.svg                                                         | XML                |         94 |          0 |          1 |         95 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\cart.svg                                                        | XML                |         12 |          0 |          1 |         13 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\circle.svg                                                      | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\closeBox.svg                                                    | XML                |         70 |          0 |          1 |         71 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\coin.svg                                                        | XML                |         19 |          0 |          1 |         20 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\coinConfirm.svg                                                 | XML                |          5 |          0 |          1 |          6 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\coinJam.svg                                                     | XML                |        798 |          0 |          1 |        799 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\coinLanding.svg                                                 | XML                |        813 |          0 |          1 |        814 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\coinRequest.svg                                                 | XML                |          4 |          0 |          1 |          5 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\coinShow.svg                                                    | XML                |          7 |          0 |          1 |          8 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\columnLock.svg                                                  | XML                |         23 |          0 |          1 |         24 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\contactUsIcon.svg                                               | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\cornerDot.svg                                                   | XML                |         18 |          0 |          1 |         19 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\cornerDotToTop.svg                                              | XML                |         18 |          0 |          1 |         19 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\cubes.svg                                                       | XML                |          5 |          0 |          1 |          6 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\cubes2.svg                                                      | XML                |          5 |          0 |          1 |          6 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\dartBoardMobile.svg                                             | XML                |         31 |          0 |          1 |         32 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\dartPen.svg                                                     | XML                |         14 |          0 |          1 |         15 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\dartbord.svg                                                    | XML                |         31 |          0 |          1 |         32 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\direction.svg                                                   | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\eghtesadNovinBank.svg                                           | XML                |          9 |          0 |          1 |         10 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\fivIcon.svg                                                     | XML                |         22 |          0 |          1 |         23 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\insta.svg                                                       | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\insurance.svg                                                   | XML                |         18 |          0 |          1 |         19 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\insuransConis.svg                                               | XML                |        291 |          0 |          1 |        292 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\lamp.svg                                                        | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\leftDirection.svg                                               | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\lightGrayDirection.svg                                          | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\line.svg                                                        | XML                |         31 |          0 |          1 |         32 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\linkedin.svg                                                    | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\melliBank.svg                                                   | XML                |          9 |          0 |          1 |         10 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\mobileImageDesktopLanding.svg                                   | XML                |         23 |          0 |          1 |         24 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\mobileImageMLanding.svg                                         | XML                |         23 |          0 |          1 |         24 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\myPolice.svg                                                    | XML                |         15 |          0 |          1 |         16 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\myPoliceDesktopLanding.svg                                      | XML                |         16 |          0 |          1 |         17 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\myPoliceMLanding.svg                                            | XML                |         16 |          0 |          1 |         17 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\myPoliceTick.svg                                                | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\notice.svg                                                      | XML                |          5 |          0 |          1 |          6 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\openBox.svg                                                     | XML                |        104 |          0 |          1 |        105 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\plusGroup.svg                                                   | XML                |         16 |          0 |          1 |         17 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\privacyIcon.svg                                                 | XML                |          4 |          0 |          1 |          5 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\productPrice.svg                                                | XML                |          8 |          0 |          1 |          9 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\questionsIcon.svg                                               | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\rightDirection.svg                                              | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\sampleLogo.svg                                                  | XML                |          4 |          0 |          1 |          5 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\search.svg                                                      | XML                |         43 |          0 |          1 |         44 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\searchCode.svg                                                  | XML                |          5 |          0 |          1 |          6 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\sendMessage.svg                                                 | XML                |          4 |          0 |          1 |          5 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\servicesIcon.svg                                                | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\shahkar.svg                                                     | XML                |          4 |          0 |          1 |          5 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\shahrBank.svg                                                   | XML                |          9 |          0 |          1 |         10 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\signOutIcon.svg                                                 | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\sinaBank.svg                                                    | XML                |          9 |          0 |          1 |         10 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\stop.svg                                                        | XML                |         12 |          0 |          1 |         13 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\stopExit.svg                                                    | XML                |          9 |          0 |          1 |         10 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\tajaratBank2.svg                                                | XML                |          9 |          0 |          1 |         10 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\tejaratBank.svg                                                 | XML                |          9 |          0 |          1 |         10 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\telegram.svg                                                    | XML                |          4 |          0 |          1 |          5 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\twitter.svg                                                     | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\userManagement.svg                                              | XML                |         64 |          0 |          1 |         65 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\userRegister.svg                                                | XML                |          6 |          0 |          1 |          7 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\userRemaining.svg                                               | XML                |          4 |          0 |          1 |          5 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\wallet.svg                                                      | XML                |         13 |          0 |          1 |         14 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\whiteRamzNegarLogo.svg                                          | XML                |         19 |          0 |          1 |         20 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\whyRamzNegarIcon.svg                                            | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewSignIn.svg                                                               | XML                |        612 |          0 |          1 |        613 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\applicationsIcon.svg                                                        | XML                |          6 |          0 |          1 |          7 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\bankMellat_gateway.svg                                                      | XML                |          9 |          0 |          1 |         10 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\bankMelli_gateway.svg                                                       | XML                |          9 |          0 |          1 |         10 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\bankSepah_gateway.svg                                                       | XML                |          9 |          0 |          1 |         10 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\blackSignOut.svg                                                            | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\blueDownload.svg                                                            | XML                |          4 |          0 |          1 |          5 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\blueExit.svg                                                                | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\breadCrumbsDirection.svg                                                    | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\calendar.svg                                                                | XML                |          4 |          0 |          1 |          5 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\camera.svg                                                                  | XML                |          6 |          0 |          1 |          7 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\changePass.svg                                                              | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\down.svg                                                                    | XML                |          3 |          0 |          1 |          4 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\download.svg                                                                | XML                |          4 |          0 |          1 |          5 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\edit.svg                                                                    | XML                |          4 |          0 |          1 |          5 |
| d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\financialIcon.svg                                                           | XML                |          6 |          0 |          1 |          7 |
